Category	ID	Term	Genes	adj_pval
BP	GO:2000573	positive regulation of DNA biosynthetic process	Pkib,Cct4,Cct5,Myc,Cct8,Tcp1,Hsp90ab1,Cct3,Cct7	0.00584096222404446
BP	GO:0030808	regulation of nucleotide biosynthetic process	Pid1,Myc,Guca1a,Entpd1,Pdk1,Eno1	0.00594434559541672
BP	GO:1900371	regulation of purine nucleotide biosynthetic process	Pid1,Myc,Guca1a,Entpd1,Pdk1,Eno1	0.00594434559541672
BP	GO:0032516	positive regulation of phosphoprotein phosphatase activity	Ppp1r12a,Cd300a,Hsp90ab1,Cd33,Ppp1r15a	0.00594434559541672
BP	GO:0045475	locomotor rhythm	Ncor1,Naglu,Kcnma1,Ciart,Usp2	0.00594434559541672
BP	GO:0000723	telomere maintenance	Pkib,Cct4,Ctc1,Cct5,Myc,Cct8,Tcp1,Hsp90ab1,Cct3,Nbn,Cct7,Ercc1	0.00594434559541672
BP	GO:0007622	rhythmic behavior	Ncor1,Nr1d1,Naglu,Nr1d2,Kcnma1,Ciart,Per3,Usp2	0.00678400765149503
BP	GO:0030968	endoplasmic reticulum unfolded protein response	Ddit3,Xbp1,Hspa5,Dnajc10,Bax,Ppp1r15a,Ccnd1,Herpud1	0.00748646239737979
BP	GO:0051881	regulation of mitochondrial membrane potential	Pid1,Ubb,Myc,Arl6ip5,Bax,Ucp2,Bnip3,Bco2,Slc25a36	0.00781951489464647
BP	GO:1900542	regulation of purine nucleotide metabolic process	Pid1,Ncor1,Psen1,Myc,Guca1a,Entpd1,Pdk1,Eno1,Tigar	0.00781951489464647
BP	GO:0033044	regulation of chromosome organization	Tpr,Pkib,Morc2a,Cct4,Ctc1,Smarce1,H3f3b,Cct5,Myc,Cct8,Tcp1,Cct3,Nbn,Cct7,Ercc1,Brd7	0.00824702105550897
BP	GO:2001244	positive regulation of intrinsic apoptotic signaling pathway	Bclaf1,Ddit3,Ubb,Myc,Ralbp1,Fbxw7,Plekhf1,Bax	0.00886727527466199
BP	GO:0009411	response to UV	Rhbdd1,Cirbp,Ube2b,Rpain,Ccar2,Crebbp,Msh2,Cat,Fbxw7,Ercc1,Bax,Ccnd1	0.00886727527466199
BP	GO:0032606	type I interferon production	Hspd1,Ap3d1,Tbk1,Havcr2,G3bp1,Crebbp,Cd14,Zc3hav1,Relb,Tlr7	0.00913942545519369
BP	GO:0098586	cellular response to virus	Lgals9,Sec14l1,Pum2,Crebbp,Ifnb1,Zc3hav1,Bax,Tlr7	0.00960835124522628
BP	GO:0032689	negative regulation of interferon-gamma production	Il1rl1,Lilrb4a,Ddit3,Havcr2,Lgals9,Cd276	0.0100656928226837
BP	GO:0045619	regulation of lymphocyte differentiation	Itpkb,Lilrb4a,Ap3d1,Xbp1,Lgals9,Smarce1,Cd83,Zmiz1,Pnp,Tnfsf9,Zeb1,Ifnb1,Il4i1,Brd7,Sash3	0.0100862181320267
BP	GO:0006913	nucleocytoplasmic transport	Zc3h11a,Tpr,Ltv1,Pttg1ip,Ppp1r12a,Xbp1,Rpain,Akap1,Psen1,Pabpn1,Ipo4,Srsf3,Akap8l,Hsp90ab1,Nxf1,Nolc1,Tcf7l2,Pkig,Nup62,Hspa8	0.0100862181320267
BP	GO:0051169	nuclear transport	Zc3h11a,Tpr,Ltv1,Pttg1ip,Ppp1r12a,Xbp1,Rpain,Akap1,Psen1,Pabpn1,Ipo4,Srsf3,Akap8l,Hsp90ab1,Nxf1,Nolc1,Tcf7l2,Pkig,Nup62,Hspa8	0.0100862181320267
BP	GO:1900180	regulation of protein localization to nucleus	Tpr,Glul,Lilrb4a,Xbp1,Akap1,Psen1,Hnrnpm,Hsp90ab1,Nolc1,Pkig,Larp7,Nup62	0.0100991202774711
BP	GO:0051251	positive regulation of lymphocyte activation	Hspd1,Itpkb,Lilrb4a,Ap3d1,Xbp1,Havcr2,Lgals9,Smarce1,Cd83,Zmiz1,Pnp,Lgals1,Tnfsf9,Msh2,Slc7a1,Il4i1,Brd7,Cd276,Sash3	0.0101174758391704
BP	GO:0002366	leukocyte activation involved in immune response	Hspd1,Dock10,Lilrb4a,Xbp1,Havcr2,Lgals9,Cd300a,Psen1,Gadd45g,Cd180,Lgals1,Msh2,Snap23,Il6ra,Nbn,Ifnb1,Anxa3,Ercc1,Relb	0.0103552366075013
BP	GO:0001818	negative regulation of cytokine production	Il1rl1,Lilrb4a,Ddit3,Havcr2,Lgals9,Cd83,Hsf1,Crebbp,Tnfrsf21,Nfkbil1,Hsp90ab1,Ifnb1,Clec4a3,Clec4a2,Relb,Ceacam1,Cd33,Cd276	0.0103552366075013
BP	GO:2001233	regulation of apoptotic signaling pathway	Sgk3,Bclaf1,Eya4,Pttg1ip,Ddit3,Xbp1,Ubb,Nle1,Psen1,Hnrnpk,Ccar2,Myc,Ralbp1,Rbck1,Fbxw7,Ifnb1,Eno1,Cdk11b,Plekhf1,Bax,Herpud1,Nono	0.0103552366075013
BP	GO:0033673	negative regulation of kinase activity	Lilrb4a,Pkib,Cd300a,Prpsap1,Psen1,Gadd45g,Ppm1f,Pkig,Coro1c,Tigar,Apoe,Ceacam1,Nup62,Chordc1,Ubash3b	0.0105869180662067
BP	GO:0006140	regulation of nucleotide metabolic process	Pid1,Ncor1,Psen1,Myc,Guca1a,Entpd1,Pdk1,Eno1,Tigar	0.0106037198886034
BP	GO:0002263	cell activation involved in immune response	Hspd1,Dock10,Lilrb4a,Xbp1,Havcr2,Lgals9,Cd300a,Psen1,Gadd45g,Cd180,Lgals1,Msh2,Snap23,Il6ra,Nbn,Ifnb1,Anxa3,Ercc1,Relb	0.0112966643041827
BP	GO:0060325	face morphogenesis	Nipbl,Crebbp,Tcf7l2,Ski,Ankrd11,Csrnp1	0.0121913393578576
BP	GO:0046822	regulation of nucleocytoplasmic transport	Tpr,Ppp1r12a,Xbp1,Akap1,Psen1,Akap8l,Hsp90ab1,Nolc1,Tcf7l2,Pkig,Nup62	0.0122511783280512
BP	GO:0070661	leukocyte proliferation	Hspd1,Lilrb4a,Tbk1,Havcr2,Lgals9,Ccl12,Cd300a,Cd180,Pnp,Myc,Tnfrsf21,Tnfsf9,Csf2ra,Ifnb1,Slc7a1,Ceacam1,Il4i1,Bax,Cd151,Cd276,Sash3	0.0123855653995741
BP	GO:1903829	positive regulation of protein localization	Tpr,Glul,Xbp1,Cct4,Psen1,Hnrnpk,Ang,Cct5,Adcy8,Cct8,Tcp1,Hnrnpm,Hsp90ab1,Cep120,Tcf7l2,Kcnb1,Fbxw7,Cct3,Larp7,Psmd9,Cct7,Cd33,Nup62,Pak1,Rdx	0.013015036063147
BP	GO:0051607	defense response to virus	Ifngr1,Tbk1,G3bp1,Akap1,Sec14l1,Pum2,Ddx41,Il10rb,Ifit3,Gbp7,Ifnb1,Zc3hav1,Trim5,Trim12a,Bnip3,Elmod2,Tlr7	0.0146934009129579
BP	GO:0071816	tail-anchored membrane protein insertion into ER membrane	Emc2,Emc4,Emc1,Mmgt1	0.0148578874277181
BP	GO:0140546	defense response to symbiont	Ifngr1,Tbk1,G3bp1,Akap1,Sec14l1,Pum2,Ddx41,Il10rb,Ifit3,Gbp7,Ifnb1,Zc3hav1,Trim5,Trim12a,Bnip3,Elmod2,Tlr7	0.0150877072106853
BP	GO:0002418	immune response to tumor cell	Hspd1,Havcr2,Adam15,Ceacam1,Il4i1	0.0153920676170191
BP	GO:0062207	regulation of pattern recognition receptor signaling pathway	Gps2,Sarm1,Nr1d1,Cd300a,Sec14l1,Pum2,Nfkbil1,Slc15a3,Zc3hav1	0.0159611681778462
BP	GO:0010506	regulation of autophagy	Tbk1,Ddit3,Xbp1,Gfap,Pik3c3,Iigp1,Fbxw7,Dram2,Usp33,Tigar,Plekhf1,Trim5,Trim12a,Bnip3,Rab8a,Scoc,Wdr6	0.0160207883996005
BP	GO:0051348	negative regulation of transferase activity	Lilrb4a,Pkib,Cd300a,Prpsap1,Psen1,Gadd45g,Ppm1f,Eif4a2,Pkig,Coro1c,Tigar,Apoe,Ceacam1,Nup62,Chordc1,Ubash3b	0.0164535060099611
BP	GO:0007032	endosome organization	Tmem9,Pik3c3,Vti1a,Vps18,Coro1c,Plekhf1,Dnajc13	0.0164535060099611
BP	GO:0051235	maintenance of location	Soat1,Ap3d1,Ddit3,Lgals9,Gaa,Psen1,Nrros,Nrip1,Gsto1,Hspa5,Rbck1,Casq2,Plin2,Akap9,Apoe,Bax,Ftl1,Ubash3b,Hexa	0.0166720896947347
BP	GO:0042306	regulation of protein import into nucleus	Tpr,Xbp1,Akap1,Psen1,Hsp90ab1,Nolc1,Pkig,Nup62	0.0166720896947347
BP	GO:2001022	positive regulation of response to DNA damage stimulus	Bclaf1,Eya4,Smarce1,Pnp,Ccar2,Myc,Fxr1,Pogz,Trrap,Tigar,Fus,Brd7	0.017318333903907
BP	GO:0000381	regulation of alternative mRNA splicing, via spliceosome	Ptbp1,Zc3h10,Nsrp1,Fxr1,Mbnl1,Thrap3,Rbm5	0.017624907265077
BP	GO:0048143	astrocyte activation	Ifngr1,Nr1d1,Psen1,C5ar1	0.017624907265077
BP	GO:0006875	cellular metal ion homeostasis	Abcb6,Ap3d1,Ddit3,Ccl12,Psen1,Pacs2,Kcnma1,Slc1a3,Myc,Adcy8,Nubp1,Gsto1,Casq2,Iscu,Kctd7,Apoe,Bax,Ftl1,Bnip3,Herpud1,Ubash3b,Ccr1	0.0184668940930651
BP	GO:0070664	negative regulation of leukocyte proliferation	Lilrb4a,Havcr2,Lgals9,Ccl12,Cd300a,Tnfrsf21,Ceacam1,Il4i1,Cd276	0.0186811922129946
BP	GO:0032647	regulation of interferon-alpha production	Hspd1,Tbk1,Havcr2,Zc3hav1,Tlr7	0.0195811217885704
BP	GO:0050858	negative regulation of antigen receptor-mediated signaling pathway	Lilrb4a,Gps2,Cd300a,Lpxn,Dgkz	0.0195811217885704
BP	GO:0034504	protein localization to nucleus	Tpr,Glul,Lilrb4a,Pttg1ip,Xbp1,Rpain,Akap1,Psen1,Ipo4,Hnrnpm,Hsp90ab1,Nolc1,Pkig,Larp7,Dnajb6,Nup62,Banp,Hspa8	0.0196891595887868
BP	GO:0000245	spliceosomal complex assembly	Mbnl1,Sf3a3,Srsf10,Srpk2,Rbm5,Srpk3	0.0198210492465532
BP	GO:0060323	head morphogenesis	Nipbl,Crebbp,Tcf7l2,Ski,Ankrd11,Csrnp1	0.0198210492465532
BP	GO:0021782	glial cell development	Ifngr1,Nr1d1,Gfap,Psen1,Nrros,Tcf7l2,B4galt5,Phgdh,Ski,C5ar1	0.0199636315041045
BP	GO:0051098	regulation of binding	Nucks1,Ddit3,Lgals9,Psen1,Hnrnpk,Myc,Hsf1,Hsp90ab1,Gtf2f1,Tcf7l2,Fbxw7,Adam15,Larp7,Usp33,Eno1,Ski,Cycs,Apoe,Bax,Map1lc3b,Ubash3b	0.0207146796736179
BP	GO:0032943	mononuclear cell proliferation	Hspd1,Lilrb4a,Tbk1,Havcr2,Lgals9,Cd300a,Cd180,Pnp,Myc,Tnfrsf21,Tnfsf9,Ifnb1,Slc7a1,Ceacam1,Il4i1,Bax,Cd151,Cd276,Sash3	0.0210588659707534
BP	GO:0032479	regulation of type I interferon production	Hspd1,Tbk1,Havcr2,G3bp1,Crebbp,Cd14,Zc3hav1,Relb,Tlr7	0.0219016307759285
BP	GO:1903828	negative regulation of protein localization	Pid1,Lilrb4a,Pfkl,Tax1bp3,Akap1,Ppm1f,Pkig,Kcnb1,Tbc1d1,Psmd9,Apoe,Picalm,Ucp2,Gdi1	0.0227197982420987
BP	GO:1901215	negative regulation of neuron death	Hspd1,Ccl12,Snx6,Psen1,Parp2,Hsf1,Abcc1,Hsp90ab1,Msh2,Tigar,C5ar1,Apoe,Bax,Ccnd1,Aars,Nono	0.0229417827065508
BP	GO:0043393	regulation of protein binding	Psen1,Hnrnpk,Myc,Hsf1,Hsp90ab1,Gtf2f1,Tcf7l2,Adam15,Usp33,Cycs,Apoe,Bax,Map1lc3b,Ubash3b	0.0234691480207242
BP	GO:0010332	response to gamma radiation	Pnp,Myc,Hsf1,Tmem109,Tigar,Bax	0.0236774176872708
BP	GO:0089718	amino acid import across plasma membrane	Gfap,Psen1,Slc7a8,Slc1a3,Slc7a1,Arl6ip5	0.0236774176872708
BP	GO:0030183	B cell differentiation	Dock10,Lilrb4a,Xbp1,Gps2,Dnajb9,Pnp,Lgals1,Msh2,Ifnb1,Il4i1,Bax,Irf2bp2	0.0247441768308724
BP	GO:0030099	myeloid cell differentiation	Tcea1,Itpkb,L3mbtl3,Lilrb4a,Ncor1,Ccl3,Psen1,Gmpr2,Myc,Hsf1,Nrros,Tnfsf9,Fbxw7,Ifnb1,Csf3r,Fam20c,Relb,Ceacam1,Abcb10,Ubash3b,Ccr1,Gab3	0.0261672073734174
BP	GO:0002696	positive regulation of leukocyte activation	Il1rl1,Hspd1,Itpkb,Lilrb4a,Ap3d1,Xbp1,Havcr2,Lgals9,Smarce1,Cd83,Zmiz1,Pnp,Lgals1,Tnfsf9,Msh2,Slc7a1,Il4i1,Brd7,Cd276,Sash3	0.0261672073734174
BP	GO:0050890	cognition	Specc1,Zzef1,Psen1,Nipbl,Ctnnd2,Adcy8,Peg13,Pde1b,Crebbp,Comt,Paip2,Synpo,Arl6ip5,C5ar1,Apoe,Picalm,Pak1,Kmt2a,Ptchd1	0.0264902881918529
BP	GO:0010212	response to ionizing radiation	Nucks1,Pnp,Nipbl,Myc,Hsf1,Msh2,Tmem109,Tigar,Ercc1,Bax	0.0264902881918529
BP	GO:0046632	alpha-beta T cell differentiation	Itpkb,Lilrb4a,Ap3d1,Ncor1,Cd83,Gadd45g,Pnp,Il6ra,Relb,Sash3	0.0264902881918529
BP	GO:2000278	regulation of DNA biosynthetic process	Pkib,Cct4,Ctc1,Cct5,Myc,Cct8,Tcp1,Hsp90ab1,Cct3,Cct7	0.0264902881918529
BP	GO:0006469	negative regulation of protein kinase activity	Lilrb4a,Pkib,Cd300a,Psen1,Gadd45g,Ppm1f,Pkig,Coro1c,Apoe,Ceacam1,Nup62,Chordc1,Ubash3b	0.0267155088326419
BP	GO:0007098	centrosome cycle	Ppp1r12a,Nubp1,Cep120,Haus1,Odf2,Cep152,Usp33,Cdk11b,Nup62,Chordc1	0.0275476392554524
BP	GO:0002831	regulation of response to biotic stimulus	Hspd1,Tbk1,Havcr2,Lgals9,Sec14l1,Pum2,Cd180,Nfkbil1,Zc3hav1,Clec4n,Tigar,Apoe,Ceacam1,Il4i1,Trim5,Trim12a,Elmod2,Ccr1,Nono	0.0275476392554524
BP	GO:0035307	positive regulation of protein dephosphorylation	Ptbp1,Ppp1r12a,Cd300a,Hsp90ab1,Cd33,Ppp1r15a	0.0275476392554524
BP	GO:0050853	B cell receptor signaling pathway	Gps2,Cd300a,Lpxn,Blnk,Sh2b2,Bax	0.0275476392554524
BP	GO:0002755	MyD88-dependent toll-like receptor signaling pathway	Hspd1,Cd300a,Tlr13,Tlr7	0.0276223579248173
BP	GO:0009110	vitamin biosynthetic process	Pnpo,Gsto1,Ubiad1,Cyp2r1	0.0276223579248173
BP	GO:0030810	positive regulation of nucleotide biosynthetic process	Pid1,Myc,Guca1a,Eno1	0.0276223579248173
BP	GO:0044321	response to leptin	Pid1,Nr1d1,Ugcg,Ccnd1	0.0276223579248173
BP	GO:1900373	positive regulation of purine nucleotide biosynthetic process	Pid1,Myc,Guca1a,Eno1	0.0276223579248173
BP	GO:0032720	negative regulation of tumor necrosis factor production	Lilrb4a,Havcr2,Hsf1,Nfkbil1,Clec4a3,Clec4a2,Cd33	0.0277624049015485
BP	GO:0051249	regulation of lymphocyte activation	Hspd1,Itpkb,Lilrb4a,Ap3d1,Xbp1,Havcr2,Lgals9,Smarce1,Cd300a,Cd83,Zmiz1,Pnp,Lgals1,Tnfrsf21,Tnfsf9,Msh2,Zeb1,Ifnb1,Slc7a1,Ceacam1,Il4i1,Brd7,Cd276,Sash3	0.0278669133937876
BP	GO:0006606	protein import into nucleus	Tpr,Pttg1ip,Xbp1,Rpain,Akap1,Psen1,Ipo4,Hsp90ab1,Nolc1,Pkig,Nup62,Hspa8	0.028343243264757
BP	GO:0032760	positive regulation of tumor necrosis factor production	Hspd1,Fcgr3,Ifngr1,Havcr2,Lgals9,Ccl3,Psen1,Cd14,Sash3	0.028343243264757
BP	GO:0014002	astrocyte development	Ifngr1,Nr1d1,Gfap,Psen1,C5ar1	0.0284967618946169
BP	GO:0051973	positive regulation of telomerase activity	Pkib,Cct4,Myc,Tcp1,Hsp90ab1	0.0284967618946169
BP	GO:0090150	establishment of protein localization to membrane	Pex3,Srp68,Emc2,Hspa5,Emc4,Snap23,Kcnb1,Sec62,Emc1,Bax,Pak1,Vps37a,Rab8a,Mmgt1,Gdi1	0.0284967618946169
BP	GO:1903556	negative regulation of tumor necrosis factor superfamily cytokine production	Lilrb4a,Havcr2,Hsf1,Nfkbil1,Clec4a3,Clec4a2,Cd33	0.0291707410430066
BP	GO:0006605	protein targeting	Hspd1,Mlph,Pex3,Ap3d1,Srp68,Pik3c3,Hspa5,Kcnb1,Sec62,Fbxw7,Hps4,Pak1,Vps37a,Herpud1,Hspa8,Gdi1	0.0296893299907359
BP	GO:1903557	positive regulation of tumor necrosis factor superfamily cytokine production	Hspd1,Fcgr3,Ifngr1,Havcr2,Lgals9,Ccl3,Psen1,Cd14,Sash3	0.0310437523962523
BP	GO:0046638	positive regulation of alpha-beta T cell differentiation	Itpkb,Lilrb4a,Ap3d1,Cd83,Pnp,Sash3	0.0310437523962523
BP	GO:1901988	negative regulation of cell cycle phase transition	Tpr,Crlf3,Ccl12,Ccar2,Hsf1,Cdc5l,Msh2,Dgkz,Nbn,Syf2,Taok3,Trrap,Ccnd1,Brd7,Rbl2	0.0310437523962523
BP	GO:0002317	plasma cell differentiation	Lilrb4a,Xbp1,Lgals1	0.0310437523962523
BP	GO:2001169	regulation of ATP biosynthetic process	Pid1,Myc,Entpd1,Eno1	0.0310437523962523
BP	GO:0045671	negative regulation of osteoclast differentiation	Lilrb4a,Fbxw7,Ifnb1,Ceacam1,Ubash3b	0.0311970609827024
BP	GO:0010498	proteasomal protein catabolic process	Rhbdd1,Ubxn4,Ddit3,Ube2b,Ubb,Psmb6,Nr1d1,Dnajb9,Psen1,Ccar2,Nrros,Psmb9,Hsp90ab1,Hspa5,Dnajc10,Rbck1,Fbxw7,Hectd3,Rnf19b,Cul1,Apoe,Psmc4,Herpud1,Fbxl12	0.0312295221048382
BP	GO:0051170	import into nucleus	Tpr,Pttg1ip,Xbp1,Rpain,Akap1,Psen1,Ipo4,Hsp90ab1,Nolc1,Pkig,Nup62,Hspa8	0.032107132753498
BP	GO:0007162	negative regulation of cell adhesion	Lilrb4a,Havcr2,Lgals9,Cd300a,Sema4d,Lgals1,Ppm1f,Tnfrsf21,Lpxn,Adam15,Ifnb1,Coro1c,Ceacam1,Il4i1,Ubash3b,Rdx,Cd276	0.0323197962150226
BP	GO:0046651	lymphocyte proliferation	Hspd1,Lilrb4a,Havcr2,Lgals9,Cd300a,Cd180,Pnp,Myc,Tnfrsf21,Tnfsf9,Ifnb1,Slc7a1,Ceacam1,Il4i1,Bax,Cd151,Cd276,Sash3	0.0323197962150226
BP	GO:0019058	viral life cycle	Nucks1,Morc2a,Ccl12,Ly6e,Lgals1,Hsp90ab1,Vps18,Nbn,Ifnb1,Srpk2,Zc3hav1,Apoe,Trim5,Trim12a,Hspa8	0.0323197962150226
BP	GO:1903578	regulation of ATP metabolic process	Pid1,Ncor1,Psen1,Myc,Entpd1,Eno1,Tigar	0.0323197962150226
BP	GO:0031669	cellular response to nutrient levels	Glul,Xbp1,Ttc5,Rictor,Comt,Pik3c3,Lars,Tcf7l2,Hspa5,Kcnb1,Usp33,Plin2,Map1lc3b	0.0323197962150226
BP	GO:0042098	T cell proliferation	Lilrb4a,Havcr2,Lgals9,Pnp,Myc,Tnfrsf21,Tnfsf9,Slc7a1,Ceacam1,Il4i1,Bax,Cd151,Cd276,Sash3	0.0323197962150226
BP	GO:0007339	binding of sperm to zona pellucida	Cct4,Cct5,Cct8,Tcp1,Cct3,Cct7	0.0323197962150226
BP	GO:0050672	negative regulation of lymphocyte proliferation	Lilrb4a,Havcr2,Lgals9,Cd300a,Tnfrsf21,Ceacam1,Il4i1,Cd276	0.0326188043945467
BP	GO:1901216	positive regulation of neuron death	Ddit3,Sarm1,Ccl3,Kcnma1,Ralbp1,Fbxw7,Srpk2,Apoe,Bax,Picalm	0.0328507874245138
BP	GO:0045017	glycerolipid biosynthetic process	Itpkb,Pip5k1c,Plscr3,Pgap3,Ang,Pigp,Pik3c3,Tcf7l2,Dgkz,Pld1,Cept1,Far1,Slc27a1	0.0330769743311521
BP	GO:0010922	positive regulation of phosphatase activity	Ppp1r12a,Cd300a,Hsp90ab1,Cd33,Ppp1r15a	0.0331218958343318
BP	GO:0034122	negative regulation of toll-like receptor signaling pathway	Gps2,Sarm1,Nr1d1,Cd300a,Nfkbil1	0.0331218958343318
BP	GO:0032945	negative regulation of mononuclear cell proliferation	Lilrb4a,Havcr2,Lgals9,Cd300a,Tnfrsf21,Ceacam1,Il4i1,Cd276	0.034170182270323
BP	GO:0045048	protein insertion into ER membrane	Emc2,Emc4,Emc1,Mmgt1	0.0342076688532393
BP	GO:0042594	response to starvation	Glul,Ddit3,Xbp1,Ttc5,Comt,Pik3c3,Lars,Tcf7l2,Hspa5,Usp33,Plin2,Map1lc3b	0.0343385645004977
BP	GO:0021536	diencephalon development	Nrp2,Ncor1,Ubb,Tcf7l2,Zeb2,Bax,Ptchd1	0.0359450036194847
BP	GO:0018208	peptidyl-proline modification	P4ha1,Ppil2,Fkbp5,Ppig,Fkbp4	0.0366503081182735
BP	GO:0050867	positive regulation of cell activation	Il1rl1,Hspd1,Itpkb,Lilrb4a,Ap3d1,Xbp1,Havcr2,Lgals9,Smarce1,Cd83,Zmiz1,Pnp,Lgals1,Tnfsf9,Msh2,Slc7a1,Il4i1,Brd7,Cd276,Sash3	0.0372211562832091
BP	GO:0032815	negative regulation of natural killer cell activation	Lilrb4a,Havcr2,Lgals9	0.0372211562832091
BP	GO:0035672	oligopeptide transmembrane transport	Slc25a39,Abcc1,Slc15a3	0.0372211562832091
BP	GO:0043653	mitochondrial fragmentation involved in apoptotic process	Ccar2,Bax,Bnip3	0.0372211562832091
BP	GO:0042130	negative regulation of T cell proliferation	Lilrb4a,Havcr2,Lgals9,Tnfrsf21,Ceacam1,Il4i1,Cd276	0.0378584354183387
BP	GO:0046474	glycerophospholipid biosynthetic process	Itpkb,Pip5k1c,Plscr3,Pgap3,Pigp,Pik3c3,Dgkz,Pld1,Cept1,Far1,Slc27a1	0.0378949779923282
BP	GO:0031668	cellular response to extracellular stimulus	Glul,Xbp1,Ttc5,Rictor,Comt,Pik3c3,Lars,Tcf7l2,Hspa5,Kcnb1,Usp33,Plin2,Ldha,Map1lc3b	0.0379268233429677
BP	GO:1901987	regulation of cell cycle phase transition	Tpr,Cirbp,Ctc1,Crlf3,Ccl12,Smarce1,Ccar2,Hsf1,Crebbp,Cdc5l,Msh2,Dgkz,Larp7,Nbn,Syf2,Taok3,Trrap,Ccnd1,Brd7,Rbl2,Rdx	0.0380789538105253
BP	GO:0000413	protein peptidyl-prolyl isomerization	Ppil2,Fkbp5,Ppig,Fkbp4	0.0380789538105253
BP	GO:0048025	negative regulation of mRNA splicing, via spliceosome	Ptbp1,Hnrnpk,Acin1,Srsf10	0.0380789538105253
BP	GO:1903579	negative regulation of ATP metabolic process	Pid1,Ncor1,Entpd1,Tigar	0.0380789538105253
BP	GO:0007611	learning or memory	Specc1,Zzef1,Psen1,Ctnnd2,Adcy8,Peg13,Pde1b,Crebbp,Comt,Paip2,Synpo,Arl6ip5,Apoe,Picalm,Pak1,Kmt2a,Ptchd1	0.0385224974853805
BP	GO:0009267	cellular response to starvation	Glul,Xbp1,Ttc5,Comt,Pik3c3,Lars,Tcf7l2,Hspa5,Usp33,Plin2,Map1lc3b	0.038562363493977
BP	GO:0002762	negative regulation of myeloid leukocyte differentiation	Lilrb4a,Myc,Fbxw7,Ifnb1,Ceacam1,Ubash3b	0.0385775223127156
BP	GO:0030522	intracellular receptor signaling pathway	Ncor1,Gps2,Sec14l1,Pum2,Zmiz1,Peg13,Slc15a3,Vps18,Tifa,Dhrs3,Zc3hav1,Fkbp4,Pak1	0.0385775223127156
BP	GO:0001819	positive regulation of cytokine production	Il1rl1,Hspd1,Fcgr3,Ifngr1,Tbk1,Ddit3,Xbp1,Havcr2,G3bp1,Lgals9,Ccl3,Psen1,Cd83,Pnp,Tnfsf9,Cd14,Il6ra,Zc3hav1,Clec4n,C5ar1,Cd276,Sash3,Tlr7	0.0403845163210549
BP	GO:0051224	negative regulation of protein transport	Pfkl,Akap1,Ppm1f,Pkig,Kcnb1,Tbc1d1,Psmd9,Apoe,Ucp2,Gdi1	0.0405661493457698
BP	GO:1903312	negative regulation of mRNA metabolic process	Traf5,Ptbp1,Cirbp,Hnrnpk,Acin1,Thrap3,Srsf10,Fus	0.0406015905677842
BP	GO:0030003	cellular cation homeostasis	Abcb6,Tmem9,Ap3d1,Ddit3,Ccl12,Psen1,Pacs2,Kcnma1,Slc1a3,Myc,Adcy8,Nubp1,Gsto1,Casq2,Iscu,Kctd7,Apoe,Bax,Ftl1,Bnip3,Herpud1,Ubash3b,Ccr1	0.0409023556398125
BP	GO:0002704	negative regulation of leukocyte mediated immunity	Lilrb4a,Havcr2,Lgals9,Cd300a,Ifnb1,Ceacam1,Il4i1	0.0413743584744392
CC	GO:0101031	chaperone complex	Cct4,Cct5,Hsf1,Cct8,Tcp1,Hsp90ab1,Stip1,Cct3,Cct7,Hspa8	2.75917216934594E-06
CC	GO:0005832	chaperonin-containing T-complex	Cct4,Cct5,Cct8,Tcp1,Cct3,Cct7	9.44010596730927E-06
CC	GO:0043209	myelin sheath	Hspd1,Glul,Ubb,Gfap,Cct5,Tuba1a,Tcp1,Stip1,Actr1a,Gsto1,Hspa5,Cct3,Phgdh,Eno1,Cycs,Hspa8,Rdx,Gdi1	0.000677239027063423
CC	GO:0002199	zona pellucida receptor complex	Cct4,Cct8,Tcp1,Cct3	0.0091323354451739
CC	GO:0072546	EMC complex	Emc2,Emc4,Emc1,Mmgt1	0.0091323354451739
CC	GO:0090575	RNA polymerase II transcription regulator complex	Tcea1,Ddit3,Xbp1,Med11,Hlf,Myc,Crebbp,Gtf2f1,Tcf4,Tcf7l2,Med22,Hltf,Rfx5,Lmo4,Trrap,Dbp,Nono	0.0091323354451739
CC	GO:0016234	inclusion body	Tpr,Psen1,Pabpn1,Hsp90ab1,Nxf1,Nbn,Psmc4,Picalm,Herpud1	0.0091323354451739
CC	GO:0042405	nuclear inclusion body	Tpr,Pabpn1,Nxf1,Nbn	0.0117487552918948
CC	GO:0005775	vacuolar lumen	Naglu,Gaa,Gusb,Hspa8,Hexa	0.0117487552918948
CC	GO:0016607	nuclear speck	Bclaf1,Nsrp1,Hbp1,Srsf5,Acin1,Nrip1,Srsf3,U2af1,Akap8l,Cdc5l,Nxf1,Lpxn,Ppig,Dgkz,Sf3a3,Thrap3,Syf2,Srsf10,Srpk2,Fam76b	0.0117487552918948
CC	GO:0044754	autolysosome	Gaa,Pik3c3,Ftl1,Map1lc3b	0.0118865304348039
CC	GO:0019867	outer membrane	Abcb6,Ltc4s,Ubb,Sarm1,Rhot1,Akap1,Psen1,Synj2,Eno1,Retsat,Tigar,Bax,Ppp1r15a,Bnip3	0.0144916256604795
CC	GO:0031968	organelle outer membrane	Abcb6,Ltc4s,Ubb,Sarm1,Rhot1,Akap1,Psen1,Synj2,Eno1,Retsat,Tigar,Bax,Ppp1r15a,Bnip3	0.0144916256604795
