	SAL01	SAL02	SAL03	SAL04	SAL07	MN01	MN02	MN03	MN04	MN05	ABS01	ABS02	ABS03	ABS04	ABS05	ABS06	ABS07
Gm10847|Gm10847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5031414D18Rik|5031414D18Rik	8350	5791	6100	4994	9179	5752	4596	9146	5195	10071	8368	8825	4756	7049	5928	7480	7310
Itm2b|Itm2b	481608	356990	463194	338923	487786	423864	313995	558690	351253	586142	414083	637997	475537	500586	490612	564380	518283
Gm35679|Gm35679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zc3h13|Zc3h13	3857	2087	1982	2272	4128	3749	2819	5126	3079	3686	3106	3353	2662	3364	4268	2573	3154
Cpb2|Cpb2	0	0	0	0	44	3	0	0	0	0	7	0	0	0	0	0	0
Cog3|Cog3	1378	1406	1132	1191	1028	1390	890	1540	819	1329	1352	910	1227	1857	1966	1507	1457
Slc25a30|Slc25a30	319	258	287	246	1148	481	360	306	291	410	362	486	323	354	249	395	586
Lrrc63|Lrrc63	21	53	34	55	174	28	25	119	45	116	66	120	131	64	132	70	104
Lcp1|Lcp1	94761	73222	84808	68492	102420	87026	66058	114820	73611	123194	94374	115109	86984	91039	99710	108808	101922
Gm15628|Gm15628	104	0	47	43	30	24	43	36	20	144	41	101	74	72	117	201	43
Gm4285|Gm4285	235	231	267	152	409	191	169	302	111	270	203	321	256	300	143	226	140
Tpt1|Tpt1	10155	6494	8876	6132	10797	8080	5615	9853	5631	8570	6197	14007	8620	9540	6713	10370	9342
Snora31|Snora31	52	39	21	48	65	47	45	75	47	49	52	35	10	31	23	40	55
Gm41213|Gm41213	0	0	3	9	48	0	7	0	0	0	0	0	0	0	0	0	6
Gtf2f2|Gtf2f2	1065	760	930	823	912	1002	665	1315	762	1093	1272	1357	1165	1059	847	1287	1428
Kctd4|Kctd4	76	22	132	35	121	202	87	72	111	112	41	274	112	50	383	323	292
2900040C04Rik|2900040C04Rik	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0
Nufip1|Nufip1	1289	650	954	806	1110	953	890	936	1084	899	716	1657	1059	1211	788	1401	957
Gpalpp1|Gpalpp1	2435	1504	2141	1461	2635	1789	1296	2183	1414	1236	2023	2264	2333	1625	2785	2237	2834
4930444M15Rik|4930444M15Rik	0	0	0	0	19	0	0	0	0	0	20	0	0	0	0	0	0
Serp2|Serp2	45	43	87	69	59	120	81	83	98	128	81	128	49	57	129	99	151
Gm36845|Gm36845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23
Lacc1|Lacc1	3126	2132	2839	1712	3304	2637	2500	3546	2061	4262	2187	4928	3480	3286	2954	3696	2723
Ccdc122|Ccdc122	326	235	270	106	215	85	128	116	32	40	329	303	198	320	305	326	298
Dnajc15|Dnajc15	1236	907	1295	811	1430	1336	867	1432	649	1012	798	1741	1493	1349	786	1344	1474
Tsc22d1|Tsc22d1	13367	7233	12608	10559	20489	19105	7769	15779	22993	19784	22524	23262	12279	8412	23939	18843	25131
Epsti1|Epsti1	1917	1668	2041	1441	2639	1818	1257	3284	808	2514	1003	3129	2592	1909	1792	2049	2104
Fam216b|Fam216b	155	10	47	40	0	66	55	0	123	0	238	160	0	12	0	216	28
Enox1|Enox1	0	0	8	41	0	151	13	71	43	0	98	0	0	95	0	57	80
Gm41217|Gm41217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm6994|Gm6994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Akap11|Akap11	2221	1501	1534	1280	2835	2042	1139	2221	1231	1582	2450	1867	2117	2686	2476	2403	3324
Dgkh|Dgkh	292	235	414	125	634	227	48	575	535	595	483	474	303	212	415	496	353
Gm30716|Gm30716	0	0	0	3	0	0	0	0	0	0	0	0	0	8	0	0	0
Rgcc|Rgcc	693	470	556	576	737	1096	670	751	1105	1018	1054	1004	506	643	946	1303	1225
Vwa8|Vwa8	737	409	898	562	715	750	309	681	762	756	604	769	458	422	1295	803	790
Gm4632|Gm4632	0	0	7	0	0	0	0	0	0	22	0	29	0	0	0	12	0
Gm30970|Gm30970	4	0	8	0	0	0	0	0	0	0	26	17	0	0	0	0	28
Naa16|Naa16	864	648	704	615	1235	717	814	1930	416	452	674	976	821	1258	838	1219	666
Mtrf1|Mtrf1	742	447	495	425	1343	712	614	469	825	603	767	996	644	593	891	779	599
Kbtbd6|Kbtbd6	69	0	9	8	2	59	25	2	67	83	51	9	81	55	2	0	43
Kbtbd7|Kbtbd7	3200	2170	2191	2110	2965	1474	1984	3326	2202	2606	3369	4065	2169	3499	2658	3720	4042
4930452G13Rik|4930452G13Rik	0	0	0	4	0	53	0	0	59	0	44	24	0	0	46	0	181
Olfm4|Olfm4	600	243	414	446	1108	308	567	403	288	847	486	715	516	168	303	649	810
Sugt1|Sugt1	3781	2703	3344	2574	3932	3746	2644	4907	3418	4203	3399	4527	3659	4199	4133	4525	4278
Pcdh17|Pcdh17	41	111	74	75	159	136	220	430	121	28	364	126	58	111	229	550	332
9630013A20Rik|9630013A20Rik	0	25	29	154	186	289	306	68	0	0	305	90	17	0	71	249	518
Wbp4|Wbp4	2737	1971	2411	2060	3225	2370	2470	3353	1672	3514	2923	3356	3318	2605	4427	3286	3734
Elf1|Elf1	11056	7910	8814	7048	9820	9793	7370	11050	6226	11703	10785	12115	10050	9540	10567	12172	9707
Gm5088|Gm5088	5	0	8	5	11	15	7	22	9	6	10	9	5	0	4	5	20
Pcdh20|Pcdh20	22	0	0	0	0	47	59	0	62	0	130	121	100	0	0	106	79
Tdrd3|Tdrd3	1165	915	1041	1007	1831	1080	951	2107	1632	1436	1058	1501	1096	1287	857	1390	840
Diaph3|Diaph3	141	61	54	53	143	81	106	214	68	55	52	0	81	53	27	80	66
Gm33025|Gm33025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm41223|Gm41223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm41222|Gm41222	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0
Gm33583|Gm33583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC108168194|LOC108168194	0	4	6	0	0	0	53	0	0	0	98	69	17	85	0	0	0
Dach1|Dach1	13	30	5	0	0	0	22	0	125	0	187	42	0	21	235	96	116
Klf5|Klf5	23	8	21	24	0	11	37	0	0	144	16	0	0	28	85	4	19
Gm41231|Gm41231	74	113	54	59	147	108	122	162	129	71	148	98	89	80	49	166	37
Pcdh9|Pcdh9	916	654	568	861	1049	4578	3025	2645	2843	809	3293	2064	2373	1496	3868	4066	5386
Gm33349|Gm33349	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0
Bora|Bora	95	31	92	69	27	58	73	171	102	195	115	136	133	10	29	31	238
Dis3|Dis3	956	533	942	753	1553	434	921	1286	582	1119	890	779	1041	939	960	902	1259
Pibf1|Pibf1	1856	1062	1881	1017	1304	1460	1125	1934	560	2290	1485	1868	1230	1196	1472	1791	1832
Mzt1|Mzt1	4602	3116	4181	2422	5306	3532	2528	6680	2668	5650	3705	4909	3290	4351	3342	4122	4128
Klf12|Klf12	1240	489	797	618	1155	776	793	899	328	741	1095	923	693	1036	884	786	1466
Tbc1d4|Tbc1d4	1075	692	1255	947	1164	1744	657	845	1331	1653	1133	1364	784	950	1359	1765	1976
Commd6|Commd6	5817	4427	5310	3636	6109	5582	3913	6903	4236	5691	4815	8007	5642	5429	5530	7081	6154
Gm5854|Gm5854	0	2	0	0	4	3	0	0	0	0	2	0	2	0	0	0	0
Uchl3|Uchl3	2648	1932	2597	1878	2806	2556	2483	2991	2015	3508	2400	2915	2118	2414	2999	2908	2803
LOC102633345|LOC102633345	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	15	12
Lmo7|Lmo7	183	123	150	298	850	279	131	174	84	266	435	60	261	190	368	141	208
Gm34589|Gm34589	559	548	530	522	737	489	724	529	602	824	1074	785	608	519	820	659	736
Gm41235|Gm41235	0	0	0	6	0	0	0	83	0	0	0	0	0	0	0	0	9
Acod1|Acod1	86	52	23	61	0	49	0	181	0	74	58	31	65	46	110	15	112
Gm34643|Gm34643	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4933432I03Rik|4933432I03Rik	0	0	0	0	0	0	0	0	0	0	26	7	0	0	21	0	28
Cln5|Cln5	9807	7856	9080	6553	10195	8223	6512	11927	7239	10549	7820	11247	9741	9405	9543	9973	10228
Kctd12|Kctd12	27013	18346	21630	15900	29518	22815	22422	35399	21021	33126	26364	30962	23034	25128	30538	26115	28052
Mir5130|Mir5130	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Gm34907|Gm34907	0	4	25	0	0	0	0	0	30	0	0	0	0	0	0	7	0
Scel|Scel	36	6	63	56	0	0	48	105	58	34	102	0	162	0	62	62	0
Slain1|Slain1	101	86	63	18	47	301	350	118	224	195	356	269	68	98	378	345	382
Slain1os|Slain1os	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm35197|Gm35197	0	0	8	1	0	0	0	0	0	0	0	0	0	0	2	2	0
Gm35116|Gm35116	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	4	0
Ednrb|Ednrb	912	541	892	858	522	1649	955	1356	2498	1069	1926	1840	1310	1126	1844	2304	2143
Rnf219|Rnf219	875	792	1082	716	1199	1333	470	1548	1016	950	1352	1416	1368	1353	1751	1362	1360
Gm17066|Gm17066	425	312	238	306	491	516	288	270	361	236	314	358	436	457	412	235	358
Rbm26|Rbm26	1739	1128	1154	1059	2168	1383	1672	2538	960	883	1309	1469	1526	1611	1822	1468	1766
Fbxl3|Fbxl3	2477	1318	1891	1375	1676	1548	1897	2163	1827	1585	1544	2335	2109	1996	2626	2769	1680
Mycbp2|Mycbp2	2975	1773	3188	2501	5380	3805	2981	4939	3698	3942	3524	3212	2949	2586	3660	2775	2982
1700087I21Rik|1700087I21Rik	41	64	54	74	129	35	50	112	93	29	224	108	53	47	72	130	80
Spry2|Spry2	203	110	155	151	276	183	182	234	157	79	397	171	237	222	327	452	468
Mir6390|Mir6390	0	0	0	2	0	0	2	0	5	0	3	0	1	2	0	2	3
Gm31003|Gm31003	745	666	765	624	437	541	498	834	582	710	831	808	732	770	758	1062	935
Mir17|Mir17	8	5	2	6	3	5	1	0	3	4	8	6	1	3	9	9	6
Mir18|Mir18	6	3	6	9	3	6	6	3	1	3	12	2	3	4	14	5	4
Mir19a|Mir19a	5	4	7	8	2	6	1	2	0	2	17	2	8	3	10	2	4
Mir20a|Mir20a	7	4	10	4	0	2	1	1	2	5	18	2	3	4	8	4	0
Mir19b-1|Mir19b-1	2	5	4	3	5	2	3	0	1	8	13	4	6	3	15	6	3
Mir17hg|Mir17hg	153	156	232	175	257	200	175	130	158	328	382	96	136	194	271	155	209
Mir92-1|Mir92-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Ndfip2|Ndfip2	10819	9432	10910	7843	13964	10747	7233	13102	7850	12117	8850	12597	10264	12733	13568	12774	12661
Tgds|Tgds	2025	1591	1874	1602	1859	1840	1985	2853	1743	2863	1989	2215	1457	2322	3447	2659	2119
Gm32093|Gm32093	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0
Gpr180|Gpr180	3498	2272	2824	2254	2731	3174	1947	3314	1743	3151	3124	2931	2656	3073	2562	3917	3467
Cldn10|Cldn10	91	143	285	144	346	378	203	206	347	245	426	389	320	278	889	647	496
Gm41248|Gm41248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm32382|Gm32382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gpc6|Gpc6	174	99	157	41	213	259	60	111	255	518	90	329	198	38	503	299	348
Gm41246|Gm41246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir6239|Mir6239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abcc4|Abcc4	713	381	521	425	385	772	453	417	504	202	1078	814	506	790	375	680	464
Mir6391|Mir6391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm41247|Gm41247	0	29	0	0	0	0	0	0	0	0	0	24	25	0	0	0	0
Gpc5|Gpc5	179	122	207	285	0	359	261	94	363	199	625	581	322	39	953	510	697
4930505G20Rik|4930505G20Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Uggt2|Uggt2	652	236	346	261	583	459	166	574	86	409	829	810	577	444	733	559	495
Gm16835|Gm16835	0	0	0	0	0	0	0	0	32	0	23	16	0	0	0	0	56
Dnajc3|Dnajc3	12238	9777	10890	8856	12647	10110	8389	14172	9487	13681	12350	15446	9717	11163	15745	13298	14548
Gm41252|Gm41252	48	59	13	8	0	8	0	17	35	0	10	24	54	69	0	106	0
Gm41253|Gm41253	11	3	11	0	0	0	7	0	0	0	74	0	0	0	0	0	0
Rap2a|Rap2a	4514	2761	3593	2359	3722	2716	2490	4961	2970	3464	4290	4277	3623	3502	4689	4364	3537
Mbnl2|Mbnl2	14674	11257	14596	11534	19962	16203	13554	20844	15693	23492	17154	15836	15014	12851	16555	21566	18217
Gm26679|Gm26679	0	0	0	6	10	0	14	14	0	0	25	21	18	0	0	0	0
Ipo5|Ipo5	5082	2435	4053	2907	5061	5085	3036	5203	3205	3655	4777	5982	4834	4423	5379	5028	4753
Farp1|Farp1	143	68	134	136	146	102	55	5	74	4	407	116	58	182	59	108	143
Stk24|Stk24	1740	988	1590	1079	1301	1356	601	1591	1741	2031	1541	1757	1631	1644	858	1608	1614
B930095G15Rik|B930095G15Rik	243	196	284	205	527	285	270	211	336	311	607	281	241	374	518	478	771
Dock9|Dock9	1425	611	916	833	1365	1246	517	2083	1314	1404	1188	2031	1146	1200	1460	1382	843
1810041H14Rik|1810041H14Rik	2	0	0	0	35	0	0	20	0	13	0	0	7	0	0	0	13
Ubac2|Ubac2	3597	2621	3249	2554	3732	3378	1955	4340	1791	3554	2426	4312	3314	3692	5001	4507	3946
Gpr18|Gpr18	32	77	79	46	0	0	8	157	0	0	35	83	23	19	121	73	42
LOC108168201|LOC108168201	166	115	284	139	48	22	91	440	101	282	209	11	197	141	257	5	25
Gpr183|Gpr183	39289	26027	32460	23413	37821	34960	26223	44075	26767	44524	34725	50840	35193	38025	33359	37989	37211
Gm33473|Gm33473	436	486	592	358	1039	619	363	291	453	249	521	625	571	402	666	572	426
Zic5|Zic5	19	9	16	39	99	0	43	37	0	9	58	34	14	40	56	12	33
Gm33719|Gm33719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
Zic2|Zic2	73	8	15	14	65	47	0	0	55	15	71	24	25	0	31	0	32
Clybl|Clybl	835	683	743	609	647	707	370	710	676	469	535	881	552	727	688	967	691
1700108J01Rik|1700108J01Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm5089|Gm5089	10	0	0	16	40	0	0	0	88	0	79	10	28	12	0	81	7
Pcca|Pcca	2493	1835	2255	1754	2462	2205	976	4089	1403	3275	2483	3344	2420	2360	2555	3326	3465
LOC108168203|LOC108168203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC108168205|LOC108168205	9	0	3	0	0	31	3	49	41	0	0	0	0	0	2	0	0
Gm15735|Gm15735	5	0	26	6	0	62	0	0	3	0	49	0	9	0	12	0	11
Tmtc4|Tmtc4	985	834	868	592	734	824	697	1003	631	286	776	979	1111	789	780	806	1547
Ggact|Ggact	165	139	122	88	322	175	116	209	143	409	222	267	229	168	28	253	256
LOC108168204|LOC108168204	0	3	8	11	102	0	0	0	0	24	50	0	21	18	0	0	79
Fgf14|Fgf14	108	29	88	48	120	71	49	137	340	99	161	83	197	54	252	6	245
1700024B18Rik|1700024B18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Itgbl1|Itgbl1	19	0	0	0	0	28	0	0	0	0	69	0	0	0	0	0	0
A330035P11Rik|A330035P11Rik	5	39	21	7	0	0	69	0	0	146	71	13	17	51	89	72	0
Tm9sf2|Tm9sf2	34350	29515	34792	27486	31302	37012	27470	46818	30238	47662	34443	42881	37241	34483	34735	42811	35696
Fbxo4|Fbxo4	507	464	520	449	707	318	385	531	384	712	344	575	289	497	452	416	771
A630020A06|A630020A06	0	0	0	0	0	10	0	8	0	10	0	36	58	0	0	3	0
AW549877|AW549877	6337	4589	5190	4215	7454	6410	5587	7961	4918	7225	6181	7862	7316	6624	9366	10021	6766
Card6|Card6	1709	1177	1791	1517	1932	2738	1472	2245	1289	2575	1592	2386	1412	1715	2003	2007	1308
BC037032|BC037032	109	111	259	140	33	126	85	138	60	164	151	274	149	137	42	178	115
Oxct1|Oxct1	17408	13364	16849	13624	20480	17108	14674	22420	13139	23212	18524	24076	18369	17696	20706	21799	19668
Snord72|Snord72	1	0	1	1	0	0	2	0	3	0	0	0	6	0	0	4	0
Rpl37|Rpl37	15472	9553	13754	8868	12307	11843	9171	15151	8304	13968	8397	22119	13088	12760	7875	14361	12491
Prkaa1|Prkaa1	3758	3051	4141	3178	4324	4012	2646	6134	4101	4811	2844	6509	5085	5033	5192	5368	5655
Ptger4|Ptger4	477	148	165	100	480	359	209	403	227	247	368	407	368	493	477	501	208
Ttc33|Ttc33	4195	3097	3249	2591	4267	4309	2228	5231	2994	5821	3473	4537	3529	3465	4354	4205	4732
Gm30057|Gm30057	0	0	6	17	0	0	0	0	0	0	0	0	0	0	0	0	0
Ccdc152|Ccdc152	58	76	70	70	64	92	32	76	65	104	100	61	102	99	150	104	76
Gm41254|Gm41254	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0
Ghr|Ghr	58	12	112	25	109	61	73	145	61	611	61	85	0	0	146	272	189
Sepp1|Sepp1	468382	366449	447264	335615	571602	445828	354641	643435	430396	629390	499195	688787	476234	496365	554109	592793	537281
Dab2|Dab2	7890	4953	6534	6018	7131	6257	7258	10077	7813	14164	9958	10283	6937	6947	6796	10331	9850
Gm16311|Gm16311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Osmr|Osmr	210	110	449	321	628	465	0	325	259	231	330	181	118	22	0	80	792
Rictor|Rictor	890	448	639	458	451	1177	636	1474	623	980	470	708	415	547	673	749	584
LOC102632231|LOC102632231	166	99	197	173	252	115	310	236	190	254	273	250	213	142	199	117	141
Fyb|Fyb	37045	25563	28592	23175	42243	36789	30038	47980	30123	45031	36461	42807	31397	32468	38793	35477	36653
Lifr|Lifr	12669	9799	10862	10809	14750	14493	10376	19435	11455	15153	13218	12659	11779	10055	14482	11364	13976
Egflam|Egflam	52	50	57	74	143	288	73	168	32	0	150	350	150	97	125	119	413
Wdr70|Wdr70	774	469	495	251	739	669	538	698	755	1107	1120	917	462	767	445	1142	911
LOC105245882|LOC105245882	45	102	80	49	0	79	72	5	16	0	46	3	21	97	0	104	120
Nup155|Nup155	716	307	384	550	964	452	903	1187	738	614	706	1062	873	771	681	986	938
2410089E03Rik|2410089E03Rik	285	287	374	263	285	346	264	617	323	637	493	394	320	228	490	316	529
Gm41265|Gm41265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nipbl|Nipbl	6671	4468	5157	4380	6880	7340	5914	11107	5703	9253	7951	5719	5242	6121	6558	5889	6386
LOC102634078|LOC102634078	158	81	89	121	161	97	60	182	76	98	102	73	97	115	135	103	130
LOC108168234|LOC108168234	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
Ranbp3l|Ranbp3l	130	65	160	129	0	215	128	201	0	32	207	82	50	134	0	28	187
Nadk2|Nadk2	1182	728	1411	958	2022	1256	1042	2082	838	1697	1538	1897	1288	1230	2538	1568	1804
Capsl|Capsl	104	25	130	17	56	0	100	0	82	0	381	125	34	0	0	131	37
Skp2|Skp2	525	428	430	367	416	597	386	338	458	715	675	790	479	732	757	915	736
Lmbrd2|Lmbrd2	293	138	152	179	355	400	132	589	106	140	656	368	214	380	311	471	385
Il7r|Il7r	2351	1305	1829	1477	1676	2446	1120	1490	1288	1493	1207	1775	1545	1358	1540	1403	978
Gm31340|Gm31340	0	0	0	0	0	0	0	0	4	0	0	5	0	0	0	0	0
Slc1a3|Slc1a3	23601	15817	19086	17274	27036	25107	18479	33710	22977	26405	25069	27469	20665	20040	18288	26596	25495
Spef2|Spef2	101	84	65	90	46	56	185	0	137	23	176	213	0	0	0	86	94
Dnajc21|Dnajc21	229	140	105	78	395	181	145	446	162	114	373	222	88	168	57	478	268
Prlr|Prlr	0	0	9	0	0	0	0	0	56	0	119	33	19	0	0	0	0
Gm41268|Gm41268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rad1|Rad1	2387	1981	2127	1741	2657	2402	1952	2404	1587	2289	2213	3287	2068	2566	3009	3542	2009
Brix1|Brix1	4236	2790	3684	2932	5864	3130	2787	4569	3002	4377	2637	4915	4126	4553	4279	4121	4893
Gm34315|Gm34315	0	0	0	0	0	0	14	0	0	0	0	6	4	0	11	0	0
C1qtnf3|C1qtnf3	0	0	0	0	0	0	0	0	45	0	43	48	0	4	0	166	0
Amacr|Amacr	1884	1086	1368	1124	1305	1793	1359	2429	2078	1702	1100	1641	1724	1496	1475	1557	1781
Rai14|Rai14	112	30	21	119	418	129	59	43	223	105	0	121	7	101	0	15	202
Gm10389|Gm10389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930556M19Rik|4930556M19Rik	53	7	28	5	65	0	46	6	0	0	14	13	35	0	0	0	0
Npr3|Npr3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm5144|Gm5144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tars|Tars	6626	3906	5828	4632	9556	6064	3858	8195	5285	6395	4810	6697	7280	6992	7901	6712	9145
Sub1|Sub1	21770	14227	17100	14183	21839	17140	13857	23608	16465	22591	17025	26200	19564	19593	21875	22832	22758
Mtmr12|Mtmr12	1665	1091	1439	1119	2075	1016	388	1771	1385	1953	1361	2237	1767	1506	1747	1950	2328
Zfr|Zfr	9986	7822	8992	7579	13150	14489	8870	15344	9906	15481	12546	12829	9267	9562	12554	11899	9742
Mir1898|Mir1898	1	3	8	3	15	2	12	10	7	12	4	14	3	20	13	9	8
Gm2573|Gm2573	22	23	49	27	37	15	29	39	13	81	28	22	48	14	61	50	47
Golph3|Golph3	3131	2402	3362	2073	2323	3053	1981	3261	1583	1984	2185	2372	2445	3661	3896	3605	2592
Pdzd2|Pdzd2	67	13	67	85	122	0	202	0	134	90	72	142	35	38	0	154	373
Gm41273|Gm41273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cdh6|Cdh6	84	15	47	75	145	46	0	94	0	159	286	231	0	0	97	195	42
Gm35018|Gm35018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC108168237|LOC108168237	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0
Cdh10|Cdh10	54	66	132	119	0	342	145	238	216	0	169	237	166	21	125	294	619
4930445E18Rik|4930445E18Rik	0	18	53	35	0	0	0	37	0	0	48	0	0	19	0	14	0
6030458C11Rik|6030458C11Rik	977	993	1141	883	1350	803	1549	1392	1204	1904	1363	1980	1173	2059	772	1937	1932
Drosha|Drosha	1177	833	1215	1164	2281	1079	1253	1912	888	624	1748	1179	1359	1094	1308	1529	1881
Basp1|Basp1	5971	3221	4664	3161	6733	4436	4409	5734	3225	5252	5173	5679	4936	5340	6077	5615	5529
Myo10|Myo10	433	233	427	143	293	324	235	91	654	292	583	339	432	228	391	531	781
Zfp622|Zfp622	3466	1903	2223	1426	2719	2894	2036	1848	704	1542	1876	733	1489	2668	4216	3073	1423
Fam134b|Fam134b	11387	9784	10538	7304	12858	10122	8361	12716	7272	9759	11824	12495	9298	11273	12447	13626	9752
Mir7212|Mir7212	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	1
Otulin|Otulin	913	512	592	556	923	822	593	805	758	541	403	513	776	806	451	812	585
Gm29901|Gm29901	0	0	4	0	0	0	0	0	0	0	0	6	0	0	0	0	0
Ank|Ank	1733	1560	1724	1164	1927	2111	2018	2247	1347	1611	2920	1973	1942	2537	2890	3835	2366
Mir7117|Mir7117	1	0	1	0	0	2	0	8	3	1	2	0	1	0	0	2	1
Gm31458|Gm31458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
Ropn1l|Ropn1l	95	32	85	74	277	32	22	175	32	208	93	115	73	112	117	112	115
Ankrd33b|Ankrd33b	41	54	88	44	0	54	76	177	88	47	111	32	15	136	0	49	91
Trio|Trio	2575	2013	2476	1766	2537	3016	2343	3507	1410	3557	2818	2897	2419	2204	2520	2053	2468
Gm29975|Gm29975	114	157	147	312	562	62	123	240	182	233	275	180	469	296	134	377	76
Dap|Dap	5431	3157	4157	3202	5742	3876	3048	6106	3656	5289	4029	6544	4833	5190	4009	4531	5121
Gm41285|Gm41285	0	0	13	13	62	0	0	0	15	0	51	0	6	0	162	0	0
Ctnnd2|Ctnnd2	481	222	333	407	508	355	353	633	603	277	307	340	216	208	266	298	239
Gm31953|Gm31953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm41284|Gm41284	0	0	0	0	0	23	46	0	0	20	0	0	0	0	0	0	17
Gm31841|Gm31841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm41283|Gm41283	9	0	0	3	0	33	0	0	29	0	0	11	25	7	0	16	16
Fam105a|Fam105a	62150	51529	60691	43204	58205	60879	42261	59671	27623	56762	42565	32736	45549	63038	66323	68190	51800
March6|March6	3784	2442	3026	2271	3723	3601	2537	3283	2552	3236	3507	3444	4122	4620	4460	4594	3163
Gm41287|Gm41287	25	39	18	21	18	61	4	18	33	15	68	23	78	51	12	26	0
Fam173b|Fam173b	1001	1011	807	762	774	951	934	1594	1287	1646	803	1084	772	766	1044	1494	843
Cmbl|Cmbl	22	10	59	18	169	0	0	94	186	10	87	157	37	145	146	164	0
Cct5|Cct5	14244	10076	12579	10223	15825	17000	12660	19711	14670	20021	15304	17049	12787	13443	19152	18087	15507
Sdc2|Sdc2	386	131	486	311	393	673	300	485	300	644	946	871	472	248	722	1169	860
Snord123|Snord123	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
Sema5a|Sema5a	14	43	0	18	0	88	102	0	120	44	312	26	70	68	167	93	125
Gm32562|Gm32562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Snhg18|Snhg18	0	0	66	15	29	21	56	26	100	43	88	78	74	31	88	45	158
Tspyl5|Tspyl5	29	17	104	7	27	0	60	35	52	7	63	11	0	130	90	136	134
1700084J12Rik|1700084J12Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930592A05Rik|4930592A05Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cpq|Cpq	3148	1734	2586	2340	3868	2123	1893	3682	2723	4488	1955	3705	2891	2634	1950	2649	2838
9430069I07Rik|9430069I07Rik	0	0	3	0	0	0	0	9	0	19	0	0	0	0	0	7	0
Matn2|Matn2	140	30	37	29	28	61	223	147	74	250	459	151	174	129	87	128	248
Laptm4b|Laptm4b	4584	3100	4036	3418	4706	4710	3942	7132	4402	7107	5827	5902	4679	4599	5953	6739	6232
Rpl30|Rpl30	7167	4081	6365	3850	6148	5918	4321	7019	3494	6741	5230	11668	7171	6348	4496	7261	6884
Pop1|Pop1	127	148	148	274	247	365	324	312	389	165	94	203	338	335	0	216	228
Rida|Rida	1679	1474	1689	1508	2656	1672	1388	2154	1624	3006	2013	2227	1359	1309	1827	2197	2132
